"postcode","pc_numeric","pc_character","city","suburb","latitude","longitude","asking_price","offered_since","living_area","available_now","type_build","volume","nr_rooms","build_year","bedrooms","bathrooms","alarm","jacuzzi","sauna","bath"
"2905 PA","2905"," PA","Capelle aan den IJssel","Bergenbuurt",51.94,4.60164,139000,"6+ months",85,0,"Existing",221,3,"1978",2,1,0,0,0,0
"2661 BD","2661"," BD","Bergschenhoek","Beemdenbuurt",51.9882,4.49418,729000,"6+ months",170,0,"Existing",645,5,"1970",4,2,0,0,0,0
"3076 DM","3076"," DM","Rotterdam","Lombardijen",51.87907,4.515458,125000,"6+ months",85,0,"Existing",230,3,"1965",2,1,0,0,0,0
"2992 CD","2992"," CD","Barendrecht","Paddewei",51.85279,4.535255,105000,"6+ months",46,0,"Existing",150,2,"1971",1,1,0,0,0,0
"3071 PP","3071"," PP","Rotterdam","Kop van Zuid-Entrepot",51.91081,4.497819,187500,"6+ months",95,0,"Existing",250,3,"1995",2,1,0,0,0,1
"3067 GK","3067"," GK","Rotterdam","Oosterflank",51.9505,4.56364,175000,"6+ months",80,0,"Existing",195,3,"2001",2,1,0,0,0,1
"2902 LB","2902"," LB","Capelle aan den IJssel","Rozenburcht",51.92144,4.581343,395000,"6+ months",140,0,"Existing",380,4,"1996",3,2,0,0,0,1
"2904 HE","2904"," HE","Capelle aan den IJssel","Dalenbuurt",51.93587,4.606604,239000,"7 weeks",130,0,"Existing",375,6,"1980",3,1,0,0,0,1
"2982 VV","2982"," VV","Ridderkerk","Ridderkerk-West",51.87354,4.591352,199000,"6+ months",98,0,"Existing",300,3,"1995",2,1,0,0,0,1
"3117 KL","3117"," KL","Schiedam","Fabribuurt",51.9151,4.389473,139000,"6+ months",118,0,"Existing",320,4,"1927",3,1,0,0,0,0
"2831 AH","2831"," AH","Gouderak","Gouderak",51.9841,4.673489,162500,"6+ months",72,0,"Existing",244,3,"1924",2,1,0,0,0,0
"3043 GV","3043"," GV","Rotterdam","Overschie",51.94454,4.424033,129500,"6+ months",79,0,"Existing",245,3,"1961",2,1,0,0,0,0
"3344 DE","3344"," DE","Hendrik-Ido-Ambacht","Volgerlanden-West",51.83346,4.642492,202000,"6+ months",82,0,"Existing",310,3,"2009",2,1,0,0,0,1
"2911 GB","2911"," GB","Nieuwerkerk aan den IJssel","Esse Hoog",51.9554,4.61304,219000,"6+ months",101,0,"Existing",311,3,"1998",2,1,0,0,0,1
"3038 VL","3038"," VL","Rotterdam","Bergpolder",51.9342,4.463816,150000,"6+ months",75,0,"Existing",225,2,"1933",1,1,0,0,0,1
"2662 HJ","2662"," HJ","Bergschenhoek","Ackerse Zoom",51.99554,4.494924,159500,"6+ months",60,0,"Existing",180,2,"2008",1,1,0,0,0,1
"2982 AG","2982"," AG","Ridderkerk","Ridderkerk-Centrum",51.87244,4.597093,109500,"6+ months",65,0,"Existing",180,3,"1957",2,1,0,0,0,0
"3021 JM","3021"," JM","Rotterdam","Middelland",51.9117,4.45992,140000,"6+ months",75,0,"Existing",190,3,"1997",2,1,0,0,0,0
"2651 VX","2651"," VX","Berkel en Rodenrijs","Sterrenbuurt",52.00296,4.491198,175000,"6+ months",92,0,"Existing",275,3,"1997",2,1,0,0,0,0
"3059 XX","3059"," XX","Rotterdam","Nesselande",51.9799,4.581916,359000,"7 weeks",101,0,"Existing",315,3,"2010",2,1,0,0,0,1
"3112 AN","3112"," AN","Schiedam","Rotterdamsedijk",51.91454,4.405812,116500,"6+ months",76,0,"Existing",230,3,"1988",2,1,0,0,0,0
"2981 AJ","2981"," AJ","Ridderkerk","Ridderkerk-Centrum",51.86624,4.594356,112000,"6+ months",75,0,"Existing",200,3,"1963",2,2,0,0,0,0
"2986 PC","2986"," PC","Ridderkerk","Drievliet",51.86126,4.61892,375000,"6+ months",180,0,"Existing",450,5,"1986",4,1,0,0,0,1
"2985 CG","2985"," CG","Ridderkerk","Ridderkerk-Oost",51.86275,4.603259,155000,"6+ months",98,0,"Existing",280,4,"1970",3,1,0,0,0,0
"3112 LB","3112"," LB","Schiedam","Newtonbuurt",51.91758,4.412338,1e+05,"6+ months",59,0,"Existing",300,5,"1929",2,1,0,0,0,0
"2652 CJ","2652"," CJ","Berkel en Rodenrijs","Parkbuurt",51.9956,4.47162,275000,"6+ months",130,0,"Existing",410,5,"2004",3,1,0,0,0,1
"2662 JG","2662"," JG","Bergschenhoek","Ackerse Zoom",51.99812,4.496821,183500,"6+ months",63,0,"Existing",150,3,"2009",2,1,0,0,0,0
"2983 VJ","2983"," VJ","Ridderkerk","Slikkeveer",51.88406,4.601856,124500,"6+ months",76,0,"Existing",220,3,"1966",2,1,0,0,0,0
"3111 PT","3111"," PT","Schiedam","Brandersbuurt",51.91931,4.397817,219000,"6+ months",133,1,"Existing",450,6,"2001",5,1,0,0,0,1
"2988 BX","2988"," BX","Ridderkerk","Rijsoord",51.8468,4.59965,299500,"6+ months",131,0,"Existing",450,3,"2000",2,1,0,0,0,0
"2983 TJ","2983"," TJ","Ridderkerk","Slikkeveer",51.8867,4.60918,117500,"6+ months",90,0,"Existing",260,4,"1957",3,1,0,0,0,0
"3027 GK","3027"," GK","Rotterdam","Spangen",51.91978,4.439091,150000,"6+ months",90,0,"Existing",240,3,"1997",2,1,0,0,0,1
"3062 JM","3062"," JM","Rotterdam","Kralingen-Oost",51.92044,4.514725,735000,"6+ months",195,0,"Existing",665,6,"1900",2,2,0,0,0,1
"2983 AJ","2983"," AJ","Ridderkerk","Slikkeveer",51.88221,4.597212,139500,"6+ months",80,0,"Existing",230,3,"1965",2,1,0,0,0,0
"3059 XW","3059"," XW","Rotterdam","Nesselande",51.98099,4.582911,232500,"6+ months",90,0,"Existing",252,3,"2009",2,1,0,0,0,0
"3117 VJ","3117"," VJ","Schiedam","Schrijversbuurt",51.91181,4.383993,125000,"6+ months",102,0,"Existing",290,3,"1978",2,1,0,0,0,0
"2981 CE","2981"," CE","Ridderkerk","Ridderkerk-Centrum",51.86914,4.593515,98500,"6+ months",64,0,"Existing",170,3,"1964",2,1,0,0,0,0
"3111 PN","3111"," PN","Schiedam","Brandersbuurt",51.91863,4.397219,132500,"6+ months",70,0,"Existing",170,2,"1989",1,1,0,0,0,1
"2983 AP","2983"," AP","Ridderkerk","Slikkeveer",51.88503,4.605672,117500,"6+ months",60,0,"Existing",190,3,"1966",2,1,0,0,0,0
"2985 AW","2985"," AW","Ridderkerk","Ridderkerk-Oost",51.8648,4.598531,175000,"6+ months",92,0,"Existing",360,4,"1962",3,1,0,0,0,1
"3065 JH","3065"," JH","Rotterdam","'s-Gravenland",51.9277,4.543808,174500,"6+ months",92,0,"Existing",225,3,"1992",2,1,0,0,0,1
"2651 NE","2651"," NE","Berkel en Rodenrijs","Rodenrijse Zoom",51.98503,4.473934,225000,"6+ months",95,0,"Existing",260,4,"2008",3,1,0,0,0,1
"2907 BC","2907"," BC","Capelle aan den IJssel","Ervenbuurt",51.94926,4.572365,123500,"6+ months",65,0,"Existing",180,3,"1980",2,1,0,0,0,1
"3043 GP","3043"," GP","Rotterdam","Overschie",51.94389,4.424473,145000,"6+ months",90,0,"Existing",300,4,"1928",3,1,0,0,0,0
"2992 WS","2992"," WS","Barendrecht","Molenvliet 1",51.8511,4.53472,218000,"8 weeks",110,0,"Existing",325,5,"1985",4,1,0,0,0,1
"3037 GG","3037"," GG","Rotterdam","Liskwartier",51.93324,4.470919,199000,"6+ months",101,0,"Existing",300,3,"1996",2,1,0,0,0,1
"3119 CR","3119"," CR","Schiedam","Nolensbuurt",51.92188,4.394391,110000,"6+ months",90,0,"Existing",250,4,"1969",3,1,0,0,0,1
"3054 HH","3054"," HH","Rotterdam","Hillegersberg-Noord",51.95731,4.496533,259000,"6+ months",90,0,"Existing",225,3,"1960",2,1,0,0,0,0
"3077 HE","3077"," HE","Rotterdam","Beverwaard",51.89207,4.56906,119000,"6+ months",78,0,"Existing",204,3,"1985",2,1,0,0,0,0
"3111 AD","3111"," AD","Schiedam","De Plantage",51.90974,4.405404,115000,"6+ months",55,0,"Existing",175,2,"1933",1,1,0,0,0,0
"2993 DL","2993"," DL","Barendrecht","Meerwede Zuidoost",51.8488,4.500523,174975,"6+ months",80,0,"Existing",210,3,"2004",2,1,0,0,0,0
"3162 SB","3162"," SB","Rhoon","De Eilanden",51.85494,4.477813,165000,"6+ months",75,0,"Existing",200,2,"2003",1,1,0,0,0,0
"2831 AL","2831"," AL","Gouderak","Gouderak",51.98449,4.672464,375000,"6+ months",135,0,"Existing",420,5,"1893",3,1,0,0,0,1
"3059 RA","3059"," RA","Rotterdam","Nesselande",51.98355,4.590937,225000,"6+ months",115,0,"Existing",310,4,"2001",2,1,0,0,0,1
"3051 ND","3051"," ND","Rotterdam","Hillegersberg-Zuid",51.94395,4.475248,175000,"6+ months",87,0,"Existing",235,3,"1997",2,1,0,0,0,1
"3011 KW","3011"," KW","Rotterdam","Stadsdriehoek",51.9233,4.49585,198000,"8 weeks",71,1,"Existing",185,3,"1954",1,1,0,0,0,0
"2935 AN","2935"," AN","Ouderkerk aan den IJssel","Ouderkerk aan de IJssel",51.93498,4.628923,1365000,"6+ months",650,0,"Existing",1800,14,"1955",13,3,0,0,0,1
"3013 AL","3013"," AL","Rotterdam","C.S. kwartier",51.92283,4.464669,179500,"6+ months",80,0,"Existing",230,3,"1981",2,1,0,0,0,0
"2987 CX","2987"," CX","Ridderkerk","Bolnes",51.8927,4.580139,175000,"6+ months",92,0,"Existing",270,3,"2006",2,1,0,0,0,1
"3117 VH","3117"," VH","Schiedam","Schildersbuurt",51.91492,4.385034,138000,"6+ months",66,0,"Existing",225,3,"1997",2,1,0,0,0,0
"3061 BA","3061"," BA","Rotterdam","Kralingen-West",51.93048,4.511945,1799000,"6+ months",497,0,"Existing",1500,16,"1927",7,4,0,0,0,1
"2841 XL","2841"," XL","Moordrecht","Kern Moordrecht",51.98624,4.670884,368000,"6+ months",220,0,"Existing",1050,8,"1966",3,1,0,0,0,1
"2993 MD","2993"," MD","Barendrecht","Meerwede Noordoost",51.853,4.501865,217000,"6+ months",85,0,"Existing",250,3,"2005",2,1,0,0,0,1
"3062 DH","3062"," DH","Rotterdam","Kralingen-Oost",51.9273,4.517979,1100000,"8 weeks",230,0,"Existing",850,8,"1914",6,2,0,0,0,1
"2983 VD","2983"," VD","Ridderkerk","Slikkeveer",51.8853,4.60289,127500,"6+ months",76,0,"Existing",220,4,"1966",3,1,0,0,0,0
"2991 KS","2991"," KS","Barendrecht","Buitenoord 2",51.84733,4.544671,347000,"6+ months",142,0,"Existing",380,3,"1979",2,1,0,0,0,1
"3016 DA","3016"," DA","Rotterdam","Nieuwe Werk",51.91,4.481279,695000,"6+ months",152,0,"Existing",425,4,"2005",3,2,0,0,0,1
"3344 HG","3344"," HG","Hendrik-Ido-Ambacht","Volgerlanden-Oost",51.83836,4.645691,210000,"6+ months",81,0,"Existing",277,3,"2008",2,1,0,0,0,0
"3063 DD","3063"," DD","Rotterdam","Struisenburg",51.91669,4.517357,299500,"6+ months",115,0,"Existing",275,3,"1977",2,1,0,0,0,1
"2908 BB","2908"," BB","Capelle aan den IJssel","Sporenbuurt-West",51.95483,4.577349,123000,"4 weeks",74,0,"Existing",210,2,"1980",1,1,0,0,0,0
"3069 EH","3069"," EH","Rotterdam","Ommoord",51.965,4.55249,157500,"7 weeks",85,0,"Existing",210,2,"1973",1,1,0,0,0,1
"3111 NA","3111"," NA","Schiedam","Binnenstad",51.91891,4.401735,159500,"4 months",98,0,"Existing",280,3,"2006",2,1,0,0,0,0
"2907 PK","2907"," PK","Capelle aan den IJssel","Instrumentenbuurt",51.95031,4.580582,155000,"5 months",90,0,"Existing",250,4,"1980",3,1,0,0,0,0
"2907 MB","2907"," MB","Capelle aan den IJssel","Kunstenaarsbuurt",51.95272,4.5837,119500,"5 months",72,0,"Existing",210,3,"1986",2,1,0,0,0,0
"3111 AP","3111"," AP","Schiedam","Walvisbuurt",51.91293,4.399684,85000,"6+ months",40,0,"Existing",108,2,"1980",1,1,0,0,0,0
"3112 VN","3112"," VN","Schiedam","Stationsbuurt",51.9202,4.41094,99000,"6+ months",70,0,"Existing",190,2,"1986",1,1,0,0,0,0
"3075 AL","3075"," AL","Rotterdam","Vreewijk",51.88951,4.503373,93060,"6+ months",93,0,"Existing",275,3,"1926",2,1,0,0,0,0
"2903 PH","2903"," PH","Capelle aan den IJssel","Vuykterrein",51.92631,4.591136,154500,"6+ months",83,0,"Existing",280,5,"1988",3,1,0,0,0,1
"3072 MH","3072"," MH","Rotterdam","Kop van Zuid",51.90399,4.485415,6e+05,"6+ months",163,0,"Existing",465,3,"2005",2,1,0,0,1,1
"3117 XR","3117"," XR","Schiedam","Schildersbuurt",51.91442,4.383625,125000,"6+ months",91,0,"Existing",242,4,"1930",3,1,0,0,0,1
"3027 GK","3027"," GK","Rotterdam","Spangen",51.91978,4.439102,150000,"6+ months",95,0,"Existing",230,3,"1998",2,1,0,0,0,1
"2905 NA","2905"," NA","Capelle aan den IJssel","Bergenbuurt",51.93802,4.603014,145000,"6+ months",94,0,"Existing",250,4,"1978",3,1,0,0,0,0
"2902 BW","2902"," BW","Capelle aan den IJssel","Rozenburcht",51.92242,4.580777,450000,"6+ months",130,0,"Existing",400,3,"2006",2,1,0,0,0,0
"2914 TC","2914"," TC","Nieuwerkerk aan den IJssel","Zuidplas Noord",51.97584,4.618429,319000,"2 months",152,0,"Existing",510,5,"1979",4,1,0,1,0,0
"2902 LG","2902"," LG","Capelle aan den IJssel","'s-Gravenweg en Alexanderlaan",51.9289,4.57272,995000,"6+ months",250,0,"Existing",855,7,"2006",4,2,0,0,0,1
"2651 CX","2651"," CX","Berkel en Rodenrijs","Bomen- en Struikenbuurt",52.00456,4.48332,569000,"<1 week",174,0,"Existing",535,4,"2008",3,1,1,0,1,1
"2991 DJ","2991"," DJ","Barendrecht","Buitenoord 3",51.84861,4.548148,437000,"<1 week",200,0,"Existing",670,8,"1988",6,2,0,0,0,1
"2907 MG","2907"," MG","Capelle aan den IJssel","Kunstenaarsbuurt",51.95174,4.585871,117500,"<1 week",43,0,"Existing",135,2,"1984",1,1,0,0,0,0
"2992 EE","2992"," EE","Barendrecht","Nieuweland 2",51.85185,4.522074,259000,"<1 week",130,0,"Existing",360,5,"1993",4,1,0,0,0,0
"2935 CR","2935"," CR","Ouderkerk aan den IJssel","Verspreide huizen in het Noorden",51.96853,4.632044,285000,"1 week",169,0,"Existing",616,9,"1930",4,1,0,0,0,0
"2922 XD","2922"," XD","Krimpen aan den IJssel","Kortland-Noord",51.91514,4.586121,225000,"2 weeks",70,0,"Existing",247,3,"1935",2,1,0,0,0,1
"3071 VS","3071"," VS","Rotterdam","Noordereiland",51.91341,4.495893,375000,"2 weeks",174,0,"New",477,6,"2016",3,1,0,0,0,NA
"3065 PG","3065"," PG","Rotterdam","'s-Gravenland",51.9267,4.56405,217500,"2 months",97,0,"Existing",245,3,"1998",2,1,0,0,0,1
"2902 LC","2902"," LC","Capelle aan den IJssel","'s-Gravenpark",51.93262,4.57808,875000,"4 weeks",220,0,"Existing",620,4,"1955",3,2,1,0,0,0
"3072 WV","3072"," WV","Rotterdam","Katendrecht",51.9001,4.47672,268000,"5 weeks",115,0,"Existing",310,4,"2001",3,1,0,0,0,0
"2652 BM","2652"," BM","Berkel en Rodenrijs","Havenbuurt",51.99706,4.459996,269000,"6 weeks",122,0,"Existing",396,5,"2003",3,1,0,0,0,0
"3052 XJ","3052"," XJ","Rotterdam","Schiebroek",51.95646,4.473499,250000,"6 weeks",95,0,"Existing",256,5,"1957",4,1,0,0,0,0
"2902 GW","2902"," GW","Capelle aan den IJssel","Schildersbuurt",51.92711,4.580543,235000,"8 weeks",130,0,"Existing",355,6,"1964",5,1,0,0,0,0
"3065 LE","3065"," LE","Rotterdam","'s-Gravenland",51.92352,4.554212,375000,"8 weeks",136,0,"Existing",380,5,"1993",4,1,1,0,0,1
"2904 HE","2904"," HE","Capelle aan den IJssel","Dalenbuurt",51.93619,4.606021,165000,"8 weeks",81,0,"Existing",230,3,"1981",2,1,0,0,0,0
"2841 LS","2841"," LS","Moordrecht","Verspreide bebouwing Moordrecht",51.9827,4.66015,485000,"2 months",100,0,"Existing",330,3,"1930",2,1,0,0,0,0
"2651 WK","2651"," WK","Berkel en Rodenrijs","Vogelbuurt",51.9859,4.46589,250000,"2 months",113,0,"Existing",389,5,"1981",5,1,0,0,0,1
"3114 ND","3114"," ND","Schiedam","Noletbuurt",51.9075,4.40272,125000,"2 months",85,0,"Existing",230,4,"1860",3,1,0,0,0,0
"2935 AL","2935"," AL","Ouderkerk aan den IJssel","Ouderkerk aan de IJssel",51.9309,4.64017,225000,"2 months",70,0,"Existing",200,3,"1930",2,1,0,0,0,0
"2931 GR","2931"," GR","Krimpen aan de Lek","Binnen Krimpen",51.89748,4.627144,219000,"2 months",115,0,"Existing",340,5,"1965",4,1,0,0,0,0
"2906 RK","2906"," RK","Capelle aan den IJssel","Molenbuurt",51.93777,4.567446,325000,"2 months",136,0,"Existing",425,5,"1986",4,1,0,0,0,1
"2661 SE","2661"," SE","Bergschenhoek","Oosteindsche Ackers",51.9945,4.50946,3e+05,"2 months",115,0,"Existing",414,5,"1999",4,1,1,1,0,0
"2651 NK","2651"," NK","Berkel en Rodenrijs","Rodenrijse Zoom",51.98168,4.469341,3e+05,"2 months",119,0,"Existing",449,5,"2007",4,1,1,0,0,1
"2661 RW","2661"," RW","Bergschenhoek","Oosteindsche Ackers",51.9948,4.50403,545000,"2 months",172,0,"Existing",616,5,"1998",4,1,0,0,0,1
"2661 GH","2661"," GH","Bergschenhoek","Hoeksekade",51.98503,4.510661,297500,"2 months",93,0,"Existing",412,5,"1960",4,1,0,0,0,0
"3117 DN","3117"," DN","Schiedam","Fabribuurt",51.91516,4.388753,250000,"2 months",215,0,"Existing",530,6,"1928",4,2,0,1,0,0
"2645 GH","2645"," GH","Delfgauw","Emerald",52.00603,4.394913,259000,"6+ months",100,0,"Existing",230,3,"1998",2,1,0,0,0,0
"2642 DV","2642"," DV","Pijnacker","Tolhek",52.00463,4.452585,479000,"2 months",162,0,"Existing",590,5,"2006",4,1,0,0,0,1
"2931 AN","2931"," AN","Krimpen aan de Lek","Hoofdstraat",51.8958,4.63511,259000,"3 months",151,0,"Existing",503,8,"1980",4,1,0,0,0,1
"2661 TA","2661"," TA","Bergschenhoek","Oosteindsche Ackers",51.9947,4.50727,389000,"3 months",150,0,"Existing",520,6,"2000",4,1,0,0,0,1
"3059 RA","3059"," RA","Rotterdam","Nesselande",51.97422,4.589718,289000,"2 months",122,0,"Existing",406,5,"2011",4,1,0,0,0,0
"2661 BT","2661"," BT","Bergschenhoek","Dorp Bergschenhoek",51.98248,4.502005,239000,"3 months",109,0,"Existing",394,4,"1970",3,1,0,0,0,0
"2957 HJ","2957"," HJ","Nieuw-Lekkerland","Middelweg",51.88513,4.671562,197500,"3 months",110,0,"Existing",340,6,"1972",4,1,0,0,0,0
"2985 BL","2985"," BL","Ridderkerk","Ridderkerk-Oost",51.86094,4.605043,197500,"3 months",105,0,"Existing",295,5,"1968",4,1,0,0,0,0
"3171 NA","3171"," NA","Poortugaal","Poortugaal Zuid",51.85288,4.401318,249500,"4 months",118,0,"Existing",340,5,"1981",4,1,0,1,0,0
"2661 AL","2661"," AL","Bergschenhoek","Ackerse Zoom",51.99538,4.49514,699000,"4 months",195,0,"Existing",800,8,"2007",5,1,0,0,0,1
"2935 AJ","2935"," AJ","Ouderkerk aan den IJssel","Ouderkerk aan de IJssel",51.93462,4.634919,585000,"4 months",115,0,"Existing",480,4,"1966",2,1,0,0,0,0
"3117 CM","3117"," CM","Schiedam","Liduinabuurt",51.91362,4.395213,325000,"4 months",175,0,"Existing",550,5,"1997",2,1,0,1,1,0
"3039 LN","3039"," LN","Rotterdam","Blijdorp",51.92899,4.463269,295000,"2 months",133,0,"Existing",465,5,"1932",4,1,0,0,0,0
"3056 PH","3056"," PH","Rotterdam","Terbregge",51.94963,4.507487,429000,"4 months",200,0,"Existing",500,7,"2000",5,2,1,0,0,1
"2661 MA","2661"," MA","Bergschenhoek","Bergsche Ackers",51.9921,4.49718,229000,"4 months",105,0,"Existing",366,5,"1992",3,1,0,0,0,1
"2651 BV","2651"," BV","Berkel en Rodenrijs","Vogelbuurt",51.9874,4.470593,645000,"4 months",186,0,"Existing",853,7,"1989",4,1,0,0,0,1
"2661 AH","2661"," AH","Bergschenhoek","Bergsche Ackers",51.99043,4.499155,295000,"4 months",89,0,"Existing",355,6,"1965",3,1,0,0,0,0
"2912 CK","2912"," CK","Nieuwerkerk aan den IJssel","Dorrestein",51.967,4.61328,1150000,"4 months",410,0,"Existing",2500,5,"1912",5,2,0,0,0,0
"2665 RH","2665"," RH","Bleiswijk","Bomenbuurt",52.0074,4.54329,2e+05,"4 months",85,0,"Existing",333,4,"1975",3,1,0,0,0,0
"2905 AT","2905"," AT","Capelle aan den IJssel","Scandinavischebuurt",51.93626,4.594554,425000,"4 months",140,0,"Existing",435,4,"1974",3,1,1,0,0,1
"2661 CD","2661"," CD","Bergschenhoek","Dorp Bergschenhoek",51.98789,4.499598,825000,"5 months",228,0,"Existing",944,7,"1972",5,1,0,0,0,1
"3111 BC","3111"," BC","Schiedam","Brandersbuurt",51.91791,4.394515,399000,"6+ months",289,0,"Existing",810,6,"1900",4,1,0,0,0,NA
"2662 BC","2662"," BC","Bergschenhoek","Eilandenbuurt",51.98563,4.491112,275000,"6+ months",116,0,"Existing",406,4,"2005",3,1,0,0,0,0
"2661 JN","2661"," JN","Bergschenhoek","Bergse Nos",51.97108,4.541119,1795000,"6+ months",282,0,"Existing",1200,6,"1992",5,1,0,0,0,0
"2662 EN","2662"," EN","Bergschenhoek","Boterdorpse Zoom",51.98982,4.486694,449000,"6+ months",110,0,"Existing",454,5,"2012",4,1,0,0,0,0
"3121 XJ","3121"," XJ","Schiedam","Vogelbuurt",51.93604,4.383172,350000,"2 months",180,0,"Existing",480,6,"1995",4,1,0,0,0,1
"2987 RB","2987"," RB","Ridderkerk","Bolnes",51.8983,4.582721,249000,"6+ months",136,0,"Existing",400,5,"1998",4,1,0,0,0,1
"2931 AX","2931"," AX","Krimpen aan de Lek","Beroepenbuurt",51.8942,4.620776,309000,"6+ months",110,0,"Existing",335,5,"1998",4,1,0,0,0,1
"2661 VG","2661"," VG","Bergschenhoek","Beemdenbuurt",51.9902,4.492316,375000,"6+ months",122,0,"Existing",450,5,"1984",4,1,1,0,0,0
"2661 LC","2661"," LC","Bergschenhoek","Bergsche Ackers",51.9906,4.49991,559000,"6+ months",155,0,"Existing",613,5,"1993",4,1,1,0,0,1
"2662 HC","2662"," HC","Bergschenhoek","Ackerse Zoom",51.99466,4.492762,475000,"6+ months",170,0,"Existing",510,4,"2009",3,1,1,0,0,1
"2651 PN","2651"," PN","Berkel en Rodenrijs","Parc Rodenrijs",51.98239,4.465857,275000,"6+ months",126,0,"Existing",442,6,"1997",5,1,0,0,0,1
"3171 GE","3171"," GE","Poortugaal","Beatrixstraat",51.85911,4.388174,324500,"6+ months",115,0,"Existing",340,5,"1935",4,1,0,0,0,0
"3059 XP","3059"," XP","Rotterdam","Nesselande",51.98459,4.583379,475000,"6+ months",190,0,"Existing",570,4,"2007",3,2,1,0,0,1
"2993 BC","2993"," BC","Barendrecht","Voordijk",51.85707,4.505114,490000,"6+ months",150,0,"Existing",400,4,"1966",3,1,0,0,0,0
"3112 MB","3112"," MB","Schiedam","Newtonbuurt",51.91727,4.411281,125000,"6+ months",136,0,"Existing",367,6,"1928",4,2,0,0,0,0
"2912 GB","2912"," GB","Nieuwerkerk aan den IJssel","Parkzoom",51.96247,4.598628,298000,"6+ months",140,0,"Existing",470,5,"1995",3,1,1,0,0,1
"3119 ZA","3119"," ZA","Schiedam","Hollandiabuurt",51.92055,4.40529,225000,"6+ months",100,0,"Existing",375,4,"1994",3,1,0,0,0,0
"2981 BT","2981"," BT","Ridderkerk","Ridderkerk-Oost",51.862,4.5942,1190000,"6+ months",263,0,"Existing",1174,6,"1963",5,1,0,0,0,1
"3083 KV","3083"," KV","Rotterdam","Carnisse",51.88433,4.47293,275000,"6+ months",175,0,"Existing",595,8,"1950",6,1,0,0,0,1
"3162 WJ","3162"," WJ","Rhoon","Portland-Centrum",51.8578,4.471782,232000,"2 months",104,0,"Existing",300,3,"2006",2,1,0,0,0,0
"2662 AR","2662"," AR","Bergschenhoek","Eilandenbuurt",51.98758,4.49215,269500,"6+ months",122,0,"Existing",406,5,"2001",4,1,0,0,0,1
"2954 BK","2954"," BK","Alblasserdam","Zeelt",51.87241,4.650989,544000,"6+ months",170,0,"Existing",630,6,"1993",5,1,0,0,0,1
"2841 SP","2841"," SP","Moordrecht","Staatsliedenbuurt/Vijfakkers",51.9898,4.6634,695000,"6+ months",197,0,"Existing",585,4,"1976",3,2,0,0,0,1
"2911 CD","2911"," CD","Nieuwerkerk aan den IJssel","Verspreide huizen Esse Polder",51.95079,4.613432,1050000,"6+ months",192,0,"Existing",825,6,"1989",4,2,0,0,0,1
"2988 AA","2988"," AA","Ridderkerk","Rijsoord",51.86044,4.586444,250000,"6+ months",135,0,"Existing",425,4,"1907",3,1,0,0,0,0
"2645 KN","2645"," KN","Delfgauw","Emerald",52.00389,4.397523,795000,"6+ months",230,0,"Existing",700,6,"2001",5,2,0,0,0,1
"2914 XH","2914"," XH","Nieuwerkerk aan den IJssel","Zuidplas Noord",51.96992,4.611501,525000,"6+ months",208,0,"Existing",850,9,"1978",7,2,0,0,0,1
"3116 ET","3116"," ET","Schiedam","Oranjekwartier",51.91096,4.397184,1325000,"6+ months",520,0,"Existing",1750,8,"1918",6,2,1,0,0,1
"2651 BN","2651"," BN","Berkel en Rodenrijs","Rodenrijse Zoom",51.9907,4.47276,699000,"6+ months",240,0,"Existing",620,8,"2007",5,2,0,0,1,0
"2954 NG","2954"," NG","Alblasserdam","Blokweer Noord",51.872,4.667818,269000,"6+ months",110,0,"Existing",390,5,"1986",4,1,0,0,0,0
"3071 PR","3071"," PR","Rotterdam","Kop van Zuid-Entrepot",51.911,4.49858,259000,"2 months",111,0,"Existing",381,2,"1879",1,1,0,0,0,1
"2904 CA","2904"," CA","Capelle aan den IJssel","Dalenbuurt",51.93608,4.611491,385000,"6+ months",150,0,"Existing",400,4,"1979",3,2,0,0,0,0
"2651 AJ","2651"," AJ","Berkel en Rodenrijs","Vlinderstrik",51.9757,4.454407,895000,"6+ months",200,0,"Existing",904,6,"2012",5,3,1,0,0,1
"2661 EM","2661"," EM","Bergschenhoek","Dorp Bergschenhoek",51.98775,4.504355,175000,"6+ months",90,0,"Existing",230,5,"1930",3,1,0,0,0,0
"2987 CV","2987"," CV","Ridderkerk","Bolnes",51.89044,4.581363,199000,"6+ months",115,0,"Existing",325,5,"1970",4,1,0,0,0,1
"2957 SM","2957"," SM","Nieuw-Lekkerland","Lekdijk",51.88575,4.670823,211000,"6+ months",125,0,"Existing",385,5,"1972",4,1,0,0,0,0
"2992 CH","2992"," CH","Barendrecht","Paddewei",51.85388,4.532904,325000,"6+ months",130,0,"Existing",500,5,"1969",4,1,0,0,0,1
"2661 ST","2661"," ST","Bergschenhoek","Oosteindsche Ackers",51.99283,4.504029,619995,"6+ months",180,0,"Existing",560,4,"1999",4,2,1,0,0,1
"2986 NB","2986"," NB","Ridderkerk","Drievliet",51.86055,4.626704,595000,"6+ months",210,0,"Existing",625,6,"1991",4,2,0,0,0,1
"2987 RB","2987"," RB","Ridderkerk","Bolnes",51.89824,4.582806,249000,"6+ months",140,0,"Existing",400,4,"1987",3,1,0,0,0,0
